hhid,hh_age,hh_race_sep,hh_race
191000001,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191000031,Household age 65+,Asian,Asian
191000049,Household with children,White,White
191000076,Household age 35-64,Asian,Asian
191000092,Household excl. age 18-34,White,White
191000131,Household excl. age 18-34,White,White
191000142,Household with children,Asian,Asian
191000145,Household age 35-64,White,White
191000154,Household with children,White,White
191000250,Household age 35-64,Non-Asian POC,Non-Asian POC
191000262,Household excl. age 18-34,White,White
191000339,Household excl. age 18-34,Other,Other
191000345,Household with children,White,White
191000347,Household age 35-64,White,White
191000352,Household age 35-64,White,White
191000366,Household age 65+,White,White
191000373,Household age 35-64,White,White
191000390,Household age 65+,White,White
191000396,Household with children,White,White
191000410,Household age 35-64,White,White
191000441,Household age 35-64,White,White
191000448,Household age 35-64,White,White
191000463,Household age 65+,White,White
191000466,Household age 35-64,White,White
191000495,Household excl. age 18-34,White,White
191000507,Household age 65+,White,White
191000511,Household with children,White,White
191000529,Household age 35-64,Non-Asian POC,Non-Asian POC
191000531,Household age 35-64,White,White
191000535,Household with children,Other,Other
191000538,Household excl. age 18-34,White,White
191000543,Household age 35-64,White,White
191000565,Household age 35-64,White,White
191000587,Household with children,White,White
191000611,Household excl. age 18-34,White,White
191000680,Household excl. age 18-34,White,White
191000692,Household age 35-64,Non-Asian POC,Non-Asian POC
191000694,Household age 65+,White,White
191000711,Household with children,White,White
191000717,Household age 35-64,White,White
191000721,Household age 65+,White,White
191000722,Household excl. age 18-34,White,White
191000771,Household age 35-64,White,White
191000782,Household age 35-64,White,White
191000823,Household age 35-64,White,White
191000827,Household age 65+,White,White
191000857,Household age 35-64,White,White
191000869,Household excl. age 18-34,White,White
191000873,Household age 35-64,White,White
191000874,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191000888,Household age 35-64,White,White
191000909,Household age 65+,White,White
191000955,Household excl. age 18-34,Asian,Asian
191000961,Household age 65+,White,White
191000970,Household age 65+,White,White
191001024,Household age 35-64,Asian,Asian
191001028,Household age 35-64,White,White
191001040,Household excl. age 18-34,Asian,Asian
191001067,Household age 35-64,Non-Asian POC,Non-Asian POC
191001070,Household excl. age 18-34,White,White
191001116,Household excl. age 18-34,Asian,Asian
191001119,Household excl. age 18-34,White,White
191001141,Household excl. age 18-34,White,White
191001147,Household age 65+,White,White
191001162,Household age 35-64,White,White
191001165,Household age 35-64,White,White
191001174,Household excl. age 18-34,Other,Other
191001195,Household age 35-64,Non-Asian POC,Non-Asian POC
191001230,Household age 65+,White,White
191001238,Household excl. age 18-34,Asian,Asian
191001293,Household age 65+,White,White
191001321,Household age 35-64,Non-Asian POC,Non-Asian POC
191001337,Household age 35-64,Asian,Asian
191001361,Household age 65+,White,White
191001396,Household age 35-64,White,White
191001397,Household with children,Asian,Asian
191001429,Household with children,White,White
191001440,Household with children,Other,Other
191001447,Household age 35-64,White,White
191001458,Household with children,Other,Other
191001493,Household age 35-64,Asian,Asian
191001502,Household excl. age 18-34,Asian,Asian
191001525,Household excl. age 18-34,White,White
191001548,Household age 35-64,White,White
191001635,Household excl. age 18-34,White,White
191001656,Household excl. age 18-34,White,White
191001673,Household age 35-64,White,White
191001687,Household with children,Asian,Asian
191001694,Household excl. age 18-34,White,White
191001698,Household age 35-64,White,White
191001700,Household with children,White,White
191001708,Household age 65+,Other,Other
191001727,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191001755,Household excl. age 18-34,White,White
191001759,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191001794,Household excl. age 18-34,White,White
191001829,Household age 35-64,Other,Other
191001849,Household with children,White,White
191001923,Household age 65+,White,White
191001933,Household age 35-64,White,White
191001935,Household age 35-64,White,White
191001960,Household age 35-64,White,White
191001975,Household excl. age 18-34,White,White
191002081,Household age 65+,Non-Asian POC,Non-Asian POC
191002083,Household age 35-64,White,White
191002087,Household with children,White,White
191002104,Household age 35-64,White,White
191002114,Household excl. age 18-34,Other,Other
191002197,Household age 35-64,White,White
191002211,Household excl. age 18-34,White,White
191002253,Household age 65+,White,White
191002296,Household excl. age 18-34,White,White
191002330,Household with children,White,White
191002348,Household excl. age 18-34,White,White
191002355,Household age 35-64,White,White
191002356,Household age 35-64,White,White
191002359,Household age 35-64,White,White
191002389,Household age 35-64,White,White
191002390,Household age 35-64,White,White
191002414,Household age 65+,White,White
191002419,Household excl. age 18-34,White,White
191002438,Household age 65+,White,White
191002447,Household excl. age 18-34,Asian,Asian
191002450,Household age 65+,White,White
191002457,Household age 65+,White,White
191002486,Household age 35-64,White,White
191002501,Household age 35-64,White,White
191002536,Household age 35-64,Other,Other
191002564,Household age 35-64,White,White
191002572,Household age 65+,White,White
191002584,Household excl. age 18-34,Asian,Asian
191002592,Household age 65+,White,White
191002659,Household age 35-64,Non-Asian POC,Non-Asian POC
191002674,Household excl. age 18-34,White,White
191002744,Household excl. age 18-34,Asian,Asian
191002762,Household excl. age 18-34,Other,Other
191002766,Household age 35-64,White,White
191002786,Household with children,White,White
191002896,Household age 35-64,White,White
191002931,Household age 35-64,White,White
191002944,Household excl. age 18-34,White,White
191002946,Household excl. age 18-34,White,White
191002958,Household age 35-64,White,White
191002962,Household age 65+,Other,Other
191003031,Household with children,Non-Asian POC,Non-Asian POC
191003036,Household excl. age 18-34,White,White
191003048,Household age 65+,White,White
191003068,Household age 65+,White,White
191003072,Household age 35-64,Non-Asian POC,Non-Asian POC
191003086,Household age 35-64,White,White
191003109,Household age 65+,White,White
191003113,Household with children,White,White
191003137,Household age 65+,White,White
191003178,Household age 65+,White,White
191003182,Household with children,White,White
191003190,Household with children,Asian,Asian
191003227,Household age 35-64,White,White
191003238,Household with children,White,White
191003264,Household age 35-64,White,White
191003274,Household with children,White,White
191003306,Household age 35-64,Non-Asian POC,Non-Asian POC
191003362,Household excl. age 18-34,White,White
191003372,Household with children,White,White
191003436,Household with children,Other,Other
191003475,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191003486,Household age 35-64,Asian,Asian
191003499,Household with children,White,White
191003531,Household age 65+,Non-Asian POC,Non-Asian POC
191003577,Household age 35-64,White,White
191003592,Household excl. age 18-34,White,White
191003617,Household excl. age 18-34,White,White
191003620,Household age 35-64,Asian,Asian
191003650,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191003664,Household age 65+,Non-Asian POC,Non-Asian POC
191003681,Household age 65+,Non-Asian POC,Non-Asian POC
191003766,Household excl. age 18-34,White,White
191003767,Household age 35-64,White,White
191003775,Household age 65+,White,White
191003795,Household excl. age 18-34,Asian,Asian
191003813,Household age 65+,White,White
191003855,Household with children,White,White
191003893,Household excl. age 18-34,White,White
191003907,Household excl. age 18-34,Asian,Asian
191003950,Household with children,White,White
191003974,Household age 35-64,White,White
191003993,Household excl. age 18-34,White,White
191004011,Household with children,White,White
191004013,Household with children,White,White
191004022,Household with children,Asian,Asian
191004031,Household with children,White,White
191004047,Household age 35-64,White,White
191004066,Household age 35-64,Other,Other
191004082,Household excl. age 18-34,Asian,Asian
191004095,Household excl. age 18-34,White,White
191004139,Household age 65+,White,White
191004147,Household excl. age 18-34,White,White
191004155,Household age 35-64,Other,Other
191004175,Household age 65+,White,White
191004204,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191004239,Household age 65+,White,White
191004322,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191004327,Household age 35-64,White,White
191004329,Household age 35-64,White,White
191004352,Household age 65+,White,White
191004356,Household excl. age 18-34,White,White
191004371,Household excl. age 18-34,Asian,Asian
191004387,Household age 65+,Asian,Asian
191004408,Household age 35-64,White,White
191004425,Household with children,White,White
191004433,Household age 35-64,White,White
191004434,Household with children,White,White
191004450,Household age 65+,Other,Other
191004453,Household age 35-64,White,White
191004491,Household age 65+,White,White
191004539,Household age 65+,White,White
191004543,Household excl. age 18-34,Non-Asian POC,Non-Asian POC
191004562,Household excl. age 18-34,White,White
191004566,Household age 35-64,White,White
191004591,Household age 35-64,White,White
191004605,Household age 35-64,Other,Other
191004648,Household age 65+,White,White
191004664,Household excl. age 18-34,White,White
191004669,Household age 35-64,White,White
